symbol,before,after,removed
QQQ,39929,32455,7474
SPY,37096,32454,4642
TLT,36828,32450,4378
IWM,35874,32449,3425
IBIT,8526,6482,2044
ETHA,8294,6483,1811
NIO,7981,6473,1508
BITO,7751,6470,1281
UNG,7469,6330,1139
NVDA,7577,6480,1097
SLV,7551,6474,1077
INTC,7471,6479,992
GLD,32624,31720,904
PFE,7325,6478,847
SOXX,7312,6478,834
TSLA,7283,6476,807
USO,30226,29427,799
GDX,7238,6476,762
MU,7142,6476,666
SOFI,7138,6477,661
ORCL,7133,6478,655
AMC,7059,6438,621
AVGO,7087,6476,611
EEM,7054,6477,577
MSFT,7045,6477,568
TSM,7031,6477,554
AMD,7010,6479,531
ETHE,6712,6207,505
NFLX,6921,6423,498
GOOGL,6959,6476,483
AAPL,6941,6476,465
PLTR,6908,6477,431
F,6880,6475,405
HOOD,6870,6478,392
XLF,32817,32440,377
SMH,6829,6474,355
GOOG,6826,6477,349
MRVL,6813,6476,337
SMCI,6815,6479,336
XLE,32766,32438,328
COIN,6802,6478,324
BABA,6801,6477,324
META,6799,6476,323
GDXJ,6788,6475,313
DIA,31034,30724,310
XBI,6771,6476,295
FBTC,6695,6438,257
EFA,6730,6476,254
LCID,6727,6477,250
NOW,6571,6330,241
XLK,32515,32295,220
RIVN,6666,6476,190
VOO,6542,6360,182
AMZN,6657,6476,181
JD,6649,6476,173
IEF,6625,6457,168
IVV,6533,6377,156
ASML,6453,6326,127
IGV,6584,6476,108
SHY,4986,4887,99
HYG,6572,6476,96
GME,6572,6477,95
QCOM,6560,6476,84
ARM,6549,6472,77
AMAT,6550,6475,75
OXY,6548,6476,72
PYPL,6531,6476,55
NKE,6531,6476,55
XOP,6521,6467,54
T,6529,6476,53
XOM,6520,6476,44
KLAC,6263,6220,43
CRM,6518,6476,42
PDD,6517,6475,42
NEM,6517,6476,41
UBER,6514,6476,38
LQD,6512,6476,36
UNH,6511,6476,35
KRE,6510,6476,34
BAC,6510,6476,34
BND,6481,6450,31
RBLX,6504,6475,29
CMCSA,6505,6477,28
WMT,6503,6476,27
CVX,6500,6474,26
FCX,6502,6476,26
SNOW,6501,6475,26
TXN,6498,6474,24
JNK,6461,6438,23
CMG,6499,6477,22
ADBE,6489,6467,22
XLU,6499,6477,22
VWO,6477,6456,21
VZ,6497,6476,21
WFC,6496,6476,20
BIDU,6432,6412,20
SHOP,6495,6475,20
CRWD,6432,6413,19
GE,6495,6476,19
JPM,6495,6476,19
XLRE,6493,6474,19
C,6494,6476,18
CSX,6493,6476,17
HAL,6493,6476,17
DKNG,6493,6476,17
LRCX,6493,6476,17
IYR,6492,6475,17
AGG,6483,6467,16
CAT,6474,6459,15
V,6491,6476,15
XLP,6491,6476,15
VEA,6484,6469,15
XLV,6491,6476,15
SLB,6491,6476,15
ARKK,6489,6475,14
OIH,5870,5857,13
LLY,6479,6466,13
DBA,3674,3661,13
DASH,6485,6472,13
AFRM,6488,6475,13
BA,6489,6476,13
KO,6488,6476,12
URA,6484,6472,12
XRT,6487,6475,12
SBUX,6488,6476,12
GS,6262,6250,12
PANW,6487,6475,12
XLB,6486,6475,11
TIP,6078,6068,10
MRK,6486,6476,10
MCD,6479,6469,10
HD,6474,6464,10
GM,6485,6476,9
ROKU,6473,6464,9
AA,6484,6476,8
MS,6484,6476,8
XYZ,6481,6474,7
BLK,5675,5668,7
VTI,6471,6464,7
O,6482,6476,6
GILD,6481,6475,6
XLC,6481,6475,6
MDLZ,6482,6476,6
NEE,6482,6476,6
XLI,6482,6476,6
RTX,6474,6469,5
ADI,6478,6473,5
COF,6464,6459,5
ISRG,6431,6426,5
UPS,6481,6476,5
TMUS,6478,6473,5
AEP,6460,6456,4
SPOT,6408,6404,4
COP,6480,6476,4
DIS,6480,6476,4
COST,6226,6222,4
BSX,6480,6476,4
TGT,6480,6476,4
VNQ,6480,6476,4
LMT,6273,6269,4
MA,6450,6446,4
LIN,6330,6326,4
JNJ,6480,6476,4
LNG,6443,6440,3
XME,6446,6443,3
MO,6479,6476,3
MDT,6479,6476,3
PEP,6479,6476,3
ICLN,6385,6382,3
XLY,6478,6475,3
SCHW,6479,6476,3
SO,6479,6476,3
XEL,6476,6473,3
DE,6393,6390,3
CL,6479,6476,3
HUM,6334,6331,3
ABNB,6475,6472,3
ACWI,6470,6467,3
CVS,6479,6476,3
GOLD,4513,4511,2
EOG,6475,6473,2
ARKG,6471,6469,2
ABT,6476,6474,2
AXP,6469,6467,2
MPC,6418,6416,2
KMB,6468,6466,2
ETN,6467,6465,2
EQIX,5763,5761,2
FDX,6341,6339,2
VLO,6456,6455,1
VRTX,6269,6268,1
IBB,6448,6447,1
ABBV,6470,6469,1
GD,6188,6187,1
SHW,6452,6451,1
DUK,6458,6457,1
CME,6442,6441,1
AMGN,6354,6353,1
APD,6257,6256,1
KBE,6476,6475,1
VT,6414,6413,1
ARKW,2164,2164,0
AMT,6466,6466,0
CBOE,5988,5988,0
ELV,6442,6442,0
ICE,6465,6465,0
HON,6461,6461,0
REGN,6205,6205,0
PSX,6467,6467,0
PG,6476,6476,0
NOC,6088,6088,0
NSC,6348,6348,0
LOW,6464,6464,0
ITA,5736,5736,0
IYT,5898,5898,0
PLD,6466,6466,0
PM,6473,6473,0
UNP,6461,6461,0
TMO,6463,6463,0
TAN,6150,6150,0
SPG,6255,6255,0
